apple mela Apfel
arm braccio Arm
bag borsa Tasche
ball palla Ball
bat pipistrello Fledermaus
bear orso Bär
cup tazza Tasse
car auto Auto
cat gatto Katze
dinosaur dinosauro Dinosaurier
dog cane Hund
elephant elefante Elefant
fox volpe Fuchs
hat cappello Hut
milk latte Milch
robot robot Roboter
snake serpente Schlange
red rosso rot
blue blu Blau
green verde Grün
yellow giallo Gelb
black nero schwarz
purple viola lila
pink rosa Rosa
orange arancia Orange
grey grigio grau
happy contento glücklich
sad triste traurig
goat capra Ziege
fish pesce Fisch
whale balena Wal
dolphin delfino Delfin
pig maiale Schwein
sheep pecora Schaf
cow mucca Kuh
horse cavallo Pferd
monkey scimmia Affe
ant formica Ameise
lion Leone Löwe
tiger tigre Tiger
bird uccello Vogel
owl gufo Eule
tree albero Baum
flower fiore Blume
trousers pantaloni Hose
socks calzini Socken
pants mutande Unterhose
shoes scarpe Schuhe
boots stivali Stiefel
jacket giacca Jacke
glass bicchiere Glas
spoon cucchiaio Löffel
fork forchetta Gabel
knife coltello Messer
book libro Buch
pen penna Stift
carrot carota Karotte
banana Banana Banane
rocket razzo Rakete
plane aereo Flugzeug
train treno Zug
bike bici Fahrrad
sun sole Sonne
moon Luna Mond
star stella Star
square quadrato Quadrat
circle cerchio Kreis
triangle triangolo Dreieck
rectangle rettangolo Rechteck
guitar chitarra Gitarre
drum tamburo Trommel
violin violino Violine
